scope_type,scope_value,abilities_total,abilities_mapped,abilities_executed,abilities_passed,abilities_failed,abilities_blocked,abilities_not_implemented,abilities_unreachable,abilities_spec_ambiguous,abilities_manual_confirmation,test_cases_total,test_cases_executed,test_cases_passed,test_cases_failed
overall,all,1036,870,0,0,32,0,107,28,0,869,4195,0,0,747
trigger,ライブ成功時,119,108,0,0,4,0,0,7,0,108,427,0,0,39
trigger,ライブ開始時,263,245,0,0,10,0,2,6,0,245,1294,0,0,84
trigger,常時,122,49,0,0,0,0,67,6,0,49,528,0,0,305
trigger,登場,331,316,0,0,10,0,0,5,0,316,969,0,0,41
trigger,自動,69,45,0,0,3,0,19,2,0,45,344,0,0,109
trigger,起動,132,107,0,0,5,0,19,2,0,106,633,0,0,169
series,LL,17,15,0,0,0,0,2,0,0,15,66,0,0,8
series,PL!,178,150,0,0,9,0,10,9,0,150,718,0,0,114
series,PL!HS,204,180,0,0,3,0,19,2,0,180,836,0,0,111
series,PL!N,210,172,0,0,6,0,25,7,0,172,812,0,0,168
series,PL!S,172,143,0,0,7,0,20,3,0,142,707,0,0,150
series,PL!SP,255,210,0,0,7,0,31,7,0,210,1056,0,0,196
audit_priority,CRITICAL,35,27,0,0,4,0,5,0,0,26,193,0,0,53
audit_priority,HIGH,214,172,0,0,14,0,26,2,0,172,1016,0,0,215
audit_priority,NORMAL,787,671,0,0,14,0,76,26,0,671,2986,0,0,479
