path,exists,size,mtime,sha256
llocg_db_out_full/cards_min_tokv1.json,YES,2238898,2026-07-15T16:34:30.745902,36ce4e459f15066cff75dcd595d4676d967a223347312f0d5294d2dec63a4199
llocg_db_out_full/cards_compiled_v7h.json,YES,954411,2026-07-15T16:34:52.078640,90af07f368128a6bbcfeffd45372f28e430598ce2f69ef6279e14e88e443bb85
llocg_ui/engine.py,YES,1632211,2026-07-15T16:35:57.235979,9ea173b6e61455216c497c82d13a43d2ee5471f951d678039e56b6010d0049df
llocg_ui/engine_effect.py,YES,839,2026-04-13T17:20:03.389182,59dd2c23a28f35abd578c434afc97baef463c2bb3ee537c17ed234a49ef13db6
llocg_ui/server.py,YES,381597,2026-07-15T16:34:04.765556,4d1c624b8630b5cf24917152864a971a61a0a0383219815505b72173b51b9b41
run_llocg_ui_web.py,YES,1438,2026-02-19T16:35:47,1d9c2ae313e2e83ed0e4b5feef945983504083b4a085ab98252ceeef380716bc
llocg_ui/effects/__init__.py,YES,258,2026-04-09T16:28:48.981801,4dada104cc671b7ec3523627b15bd7011751e979f8b6c68e049276dcba2c471a
llocg_ui/effects/apply.py,YES,3883,2026-06-29T17:42:57,e068cda7fa018e6a10cd19f1d508dfc05b941277d613804c5520aeda3999b784
llocg_ui/effects/energy.py,YES,1457,2026-04-14T13:07:50.711474,12d27cabd143a9314d089d7366e16ed7d169c0c6dad17f364626349f37ee8b6e
llocg_ui/effects/green_search.py,YES,17576,2026-06-29T15:56:09,66af9f051da440cd1cad93c50d51d8545c829d4a8ce4b927e62c5452be08932e
llocg_ui/effects/helpers.py,YES,31967,2026-07-14T16:40:31.334094,22d6183e0e0be648d9c4de358c4f51a9869b6b8c48ae0af947576454dca5e813
llocg_ui/effects/live_start.py,YES,35913,2026-06-24T01:11:40.014153,6718ececd9076509e759acee288d95dd9da0c8f13d33b507eab9498c0324f582
llocg_ui/effects/position.py,YES,6561,2026-04-14T14:04:47.308803,020fff0ad4e904f305478caf2804fedda45f488613bbb8e1946c82e555ac44f3
llocg_ui/effects/registry.py,YES,47836,2026-06-29T16:15:06,41f7b5140fc2ce70048cca0ceca40eb9edbe5253e32cc428ebaae3b5470eacc8
llocg_ui/effects/special.py,YES,3180,2026-04-14T15:59:01.046229,37acbf3e397db6cf02e33c09d4fb5d51f5466f86a241b0db0d5a0b4fb866963d
llocg_ui/effects/stage_triggers.py,YES,11111,2026-04-14T14:32:12.775549,fbeef1238c4eb6733efdaf480d5265ca7a111898453707f78c88aa91f9fc1c35
llocg_ui/effects/success_zone.py,YES,12116,2026-04-30T13:42:44.211942,814b178758914e4bc6431b0f637cf8598d9676d3c92216a373a4fa43e55faa4b
llocg_ui/effects/topdeck.py,YES,19721,2026-06-29T17:42:27,743473b6e785164ab518b885384bd93c1f7cb9c3674ad1979b28464a5d8d88c4
